date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-11-01 00:00:00+00:00,228.17,235.74,227.325,234.6,30592271,221.719308783,229.07529409,220.8981981378,227.9675235154,30592271,0.0,1.0
2022-11-02 00:00:00+00:00,220.1,231.3,220.04,229.46,38407008,213.877459189,224.7608192204,213.8191554745,222.9728386438,38407008,0.0,1.0
2022-11-03 00:00:00+00:00,214.25,220.41,213.98,220.09,36633922,208.1928470297,214.178695047,207.9304803147,213.8677419032,36633922,0.0,1.0
2022-11-04 00:00:00+00:00,221.39,221.59,213.431,217.55,36789063,215.1309890497,215.3253347646,207.3970013274,211.3995513247,36789063,0.0,1.0
2022-11-07 00:00:00+00:00,227.87,228.41,221.28,221.99,33497979,221.4277902108,221.9525236409,215.0240989066,215.7140261943,33497979,0.0,1.0
2022-11-08 00:00:00+00:00,228.87,231.65,225.84,228.7,28192548,222.399518785,225.1009242214,219.4551812051,222.2343249274,28192548,0.0,1.0
2022-11-09 00:00:00+00:00,224.51,228.6327,224.33,227.37,27852910,218.1627822013,222.1689275943,217.987871058,220.9419259236,27852910,0.0,1.0
2022-11-10 00:00:00+00:00,242.98,243.33,235.0,235.43,46268021,236.1106089674,236.4507139684,228.3562149451,228.774058232,46268021,0.0,1.0
2022-11-11 00:00:00+00:00,247.11,247.99,241.93,242.99,34620246,240.123847979,240.9789691244,235.0902939645,236.1203262532,34620246,0.0,1.0
2022-11-14 00:00:00+00:00,241.55,243.91,239.21,241.985,31123340,234.7210371063,237.0143165415,232.4471922426,235.1437390361,31123340,0.0,1.0
2022-11-15 00:00:00+00:00,241.97,247.0,240.03,245.66,31390117,235.1291631075,240.0169578359,233.2440096735,238.7148415464,31390117,0.0,1.0
2022-11-16 00:00:00+00:00,241.73,243.8,240.42,242.79,24093272,235.5567236801,237.5738602292,234.2801783278,236.5896535072,24093272,0.68,1.0
2022-11-17 00:00:00+00:00,241.68,243.25,237.63,237.78,23123544,235.5080005751,237.0379060737,231.5614290659,231.7075983811,23123544,0.0,1.0
2022-11-18 00:00:00+00:00,241.22,243.74,239.03,243.51,27613523,235.0597480086,237.5153925032,232.9256760074,237.29126622,27613523,0.0,1.0
2022-11-21 00:00:00+00:00,242.05,244.67,241.19,241.43,26394700,235.8685515525,238.4216422571,235.0305141456,235.2643850498,26394700,0.0,1.0
2022-11-22 00:00:00+00:00,245.03,245.31,240.71,243.59,19665699,238.7724486135,239.0452980018,234.5627723371,237.369223188,19665699,0.0,1.0
2022-11-23 00:00:00+00:00,247.58,248.28,244.27,245.105,19508462,241.2573269711,241.9394504418,238.0318574167,238.8455332711,19508462,0.0,1.0
2022-11-25 00:00:00+00:00,247.49,248.7,246.73,247.31,9200772,241.169625382,242.3487245243,240.4290341852,240.9942222038,9200772,0.0,1.0
2022-11-28 00:00:00+00:00,241.76,246.65,240.8,246.08,24810271,235.5859575432,240.3510772172,234.6504739262,239.7956338196,24810271,0.0,1.0
2022-11-29 00:00:00+00:00,240.33,242.79,238.21,241.4,17956313,234.1924767387,236.5896535072,232.1266170845,235.2351511868,17956313,0.0,1.0
2022-11-30 00:00:00+00:00,255.14,255.33,239.86,240.57,47594239,248.6242604548,248.809408254,233.7344795512,234.4263476429,47594239,0.0,1.0
2022-12-01 00:00:00+00:00,254.69,256.12,250.9156,253.87,26041524,248.1857525094,249.5792333138,244.5077427553,247.3866935865,26041524,0.0,1.0
2022-12-02 00:00:00+00:00,255.02,256.06,249.69,249.82,21528520,248.5073250027,249.5207655878,243.3134420043,243.4401220774,21528520,0.0,1.0
2022-12-05 00:00:00+00:00,250.2,253.819,248.06,252.01,23435294,243.8104176758,247.3369960194,241.7250687796,245.5741940786,23435294,0.0,1.0
2022-12-06 00:00:00+00:00,245.12,251.86,243.78,250.82,22463727,238.8601502026,245.4280247635,237.5543709872,244.4145841784,22463727,0.0,1.0
2022-12-07 00:00:00+00:00,244.37,246.16,242.205,244.83,20481522,238.1293036268,239.8735907877,236.0195931781,238.5775561933,20481522,0.0,1.0
2022-12-08 00:00:00+00:00,247.4,248.74,243.06,244.84,22611757,241.0819237929,242.3877030083,236.8527582745,238.5873008143,22611757,0.0,1.0
2022-12-09 00:00:00+00:00,245.42,248.31,244.16,244.695,20609743,239.1524888329,241.9686843049,237.9246665856,238.4460038097,20609743,0.0,1.0
2022-12-12 00:00:00+00:00,252.51,252.54,247.17,247.445,30665069,246.0614251292,246.0906589922,240.8577975097,241.1257745875,30665069,0.0,1.0
2022-12-13 00:00:00+00:00,256.92,263.915,253.07,261.69,42196884,250.3588029947,257.1751653913,246.6071239057,255.0069872165,42196884,0.0,1.0
